Data,Mandante,Hor/Res,Visitante,Fase,Torneio,Campo,Pontos Mandante,Pontos Visitante,Vencedor,Defensor do Título
2015-08-16 14:00:15,Coritiba Crocodiles,14 - 23,Cuiabá Arsenal,,Superliga Nacional 2015,Clube Imperial - Curitiba/PR,14,23,Cuiabá Arsenal,Coritiba Crocodiles
2015-08-29 14:30:15,Goiânia Rednecks,20 - 37,Cuiabá Arsenal,,Superliga Nacional 2015,Estádio Hailé Pinheiro - Goiânia/GO,20,37,Cuiabá Arsenal,Cuiabá Arsenal
2015-09-12 14:00:15,Cuiabá Arsenal,27 - 20,São Paulo Storm,,Superliga Nacional 2015,,27,20,Cuiabá Arsenal,Cuiabá Arsenal
2015-10-11 14:30:15,Cuiabá Arsenal,40 - 16,Itapema White Sharks,,Superliga Nacional 2015,,40,16,Cuiabá Arsenal,Cuiabá Arsenal
2015-11-07 14:00:15,Foz do Iguaçu Black Sharks,27 - 21,Cuiabá Arsenal,,Superliga Nacional 2015,Campo da Vila A – Foz do Iguaçu/PR,27,21,Foz do Iguaçu Black Sharks,Cuiabá Arsenal
2016-03-13 09:00:18,Foz do Iguaçu Black Sharks,00 - 20,Brown Spiders,,Campeonato Paranaense 2016,Campo do Gresfi - Foz do Iguaçu/PR,0,20,Brown Spiders,Foz do Iguaçu Black Sharks
2016-04-02 14:00:58,Londrina Bristlebacks,09 - 39,Brown Spiders,,Campeonato Paranaense 2016,Campo Estrela - Ibiporã/PR,9,39,Brown Spiders,Brown Spiders
2016-04-16 14:00:15,Brown Spiders,12 - 13,Paraná HP,,Campeonato Paranaense 2016,Croco Stadium - Curitiba/PR,12,13,Paraná HP,Brown Spiders
2016-05-01 14:00:11,Paraná HP,75 - 07,Londrina Bristlebacks,,Campeonato Paranaense 2016,Centro Esportivo Fanático - Campo Largo/PR,75,7,Paraná HP,Paraná HP
2016-05-29 14:00:52,Paraná HP,41 - 00,Londrina Bristlebacks,,Campeonato Paranaense 2016,,41,0,Paraná HP,Paraná HP
2016-06-19 13:00:33,Coritiba Crocodiles,00 - 14,Paraná HP,,Campeonato Paranaense 2016,,0,14,Paraná HP,Paraná HP
2016-07-10 13:00:50,Coritiba Crocodiles,10 - 03,Paraná HP,,Superliga Nacional 2016,Campo da Univ. Positivo - Curitiba/PR,10,3,Coritiba Crocodiles,Paraná HP
2016-08-06 14:00:50,Brown Spiders,14 - 42,Coritiba Crocodiles,,Superliga Nacional 2016,Croco Stadium - Curitiba/PR,14,42,Coritiba Crocodiles,Coritiba Crocodiles
2016-08-20 14:00:50,União da Serra/Juventude FA,00 - 21,Coritiba Crocodiles,,Superliga Nacional 2016,Clube União Forquetense - Caxias do Sul/RS,0,21,Coritiba Crocodiles,Coritiba Crocodiles
2016-09-03 14:00:50,Coritiba Crocodiles,13 - 02,Foz do Iguaçu Black Sharks,,Superliga Nacional 2016,Croco Stadium - Curitiba/PR,13,2,Coritiba Crocodiles,Coritiba Crocodiles
2016-09-24 14:00:50,São José WSI,22 - 27,Coritiba Crocodiles,,Superliga Nacional 2016,Colégio Forquilhão - São José/SC,22,27,Coritiba Crocodiles,Coritiba Crocodiles
2016-10-09 14:00:50,Coritiba Crocodiles,06 - 25,Timbó Rex,,Superliga Nacional 2016,Croco Stadium - Curitiba/PR,6,25,Timbó Rex,Coritiba Crocodiles
