Data,Mandante,Hor/Res,Visitante,Campo,Torneio,Fase,Pontos Mandante,Pontos Visitante,Vencedor,Defensor do Título
2013-08-10 14:00:00,Cuiabá Arsenal,42 - 00,Brasil Devilz,Cuiabá/MT,Campeonato Brasileiro 2013,,42,0,Cuiabá Arsenal,Cuiabá Arsenal
2013-08-25 14:00:00,Jacarés do Pantanal,00 - 58,Cuiabá Arsenal,Campo Grande/MS,Campeonato Brasileiro 2013,,0,58,Cuiabá Arsenal,Cuiabá Arsenal
2013-09-07 14:00:00,Cuiabá Arsenal,93 - 00,Jacarés do Pantanal,Cuiabá/MT,Campeonato Brasileiro 2013,,93,0,Cuiabá Arsenal,Cuiabá Arsenal
2013-10-12 14:00:00,Cuiabá Arsenal,13 - 16,Istepôs FA,,Campeonato Brasileiro 2013,,13,16,Istepôs FA,Cuiabá Arsenal
2013-11-23 14:00:00,Coritiba Crocodiles,13 - 09,Istepôs FA,,Campeonato Brasileiro 2013,,13,9,Coritiba Crocodiles,Istepôs FA
2013-12-14 14:00:00,João Pessoa Espectros,13 - 24,Coritiba Crocodiles,,Campeonato Brasileiro 2013,,13,24,Coritiba Crocodiles,Coritiba Crocodiles
2014-03-16 14:00:00,Paraná HP,00 - 10,Coritiba Crocodiles,Centro Esportivo Fanático - Campo Largo/PR,Campeonato Paranaense 2014,,0,10,Coritiba Crocodiles,Coritiba Crocodiles
2014-03-30 14:00:00,UFPR Legends,03 - 22,Coritiba Crocodiles,UFPR Campus de Agrárias - Curitiba/PR,Campeonato Paranaense 2014,,3,22,Coritiba Crocodiles,Coritiba Crocodiles
2014-04-12 14:00:00,Coritiba Crocodiles,27 - 00,Brown Spiders,Clube Imperial - Curitiba/PR,Campeonato Paranaense 2014,,27,0,Coritiba Crocodiles,Coritiba Crocodiles
2014-04-26 14:00:00,Coritiba Crocodiles,49 - 03,Maringá Pyros,Curitiba/PR,Campeonato Paranaense 2014,,49,3,Coritiba Crocodiles,Coritiba Crocodiles
2014-05-17 14:00:00,Coritiba Crocodiles,70 - 00,Unicentro Knights,Clube Imperial - Curitiba/PR,Campeonato Paranaense 2014,,70,0,Coritiba Crocodiles,Coritiba Crocodiles
2014-06-01 14:00:00,Foz do Iguaçu Black Sharks,02 - 21,Coritiba Crocodiles,Foz do Iguaçu/PR,Campeonato Paranaense 2014,,2,21,Coritiba Crocodiles,Coritiba Crocodiles
2014-06-15 14:00:00,PRC Guardian Saints,02 - 72,Coritiba Crocodiles,Curitiba/PR,Campeonato Paranaense 2014,,2,72,Coritiba Crocodiles,Coritiba Crocodiles
2014-07-05 15:00:00,Coritiba Crocodiles,07 - 06,Paraná HP,,Campeonato Paranaense 2014,,7,6,Coritiba Crocodiles,Coritiba Crocodiles
2014-08-03 14:00:00,Coritiba Crocodiles,22 - 00,Istepôs FA,Curitiba/PR,Superliga Nacional 2014,,22,0,Coritiba Crocodiles,Coritiba Crocodiles
2014-08-30 18:30:00,Goiânia Rednecks,00 - 44,Coritiba Crocodiles,SESI Ferreira Pacheco - Goiânia/GO,Superliga Nacional 2014,,0,44,Coritiba Crocodiles,Coritiba Crocodiles
